id,model,storage,price_thb,battery_health,post_url,images_count,content
1,iPhone 17,-,25990,100%,https://www.facebook.com/groups/1362848747066038/posts/39225447620379343/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 1 ชั่วโมง · ขาย iPhone 17 สี white 25,990 ลดได้ 25,590 เบต้า100% เครื่องนอกแท้เข้าศูนย์ไทยได้ปกติความจุ 256 เครื่องมีประกันศูนย์ถึง 6 ตุลาคม 2569 เดิมๆสภาพดี ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +4 ฿25,990 · ราชบุรี, ประเทศไทย iPhone 17 ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
2,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/39199174389673333/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ เนื้อหาที่สร้างโดย AI · 1 วัน · เปิดล้านค่ะ พร้อมส่งจ้า รับเทิร์นค่ะ +38 แสดงความคิดเห็นในชื่อ รัชชานนท์
3,iPhone 13promax,128GB,14990,72%,https://www.facebook.com/groups/1362848747066038/posts/39199076189683153/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 1 วัน · ขาย iPhone 13promax สี gold 14,990 ลดได้ 14,590 LL 128gb เบต้า 72% เครื่องเดิมๆสภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿14,590 · ราชบุรี, ประเทศไทย 13 pro max ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
4,iPhone 12promax,256GB,10990,81%,https://www.facebook.com/groups/1362848747066038/posts/39199050479685724/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 1 วัน · ขาย iPhone 12promax สี แปลซิฟิกบลู 10,990 ลดได้ 10,590 เครื่องนอกแท้เข้าศูนย์ไทยได้ปกติ เครื่องความจุ256gb เบต้า81% เครื่องเดิมๆสภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿10,590 · ราชบุรี, ประเทศไทย 12 pro max ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
5,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/39179568041633968/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ เนื้อหาที่สร้างโดย AI · 1 วัน · ถามได้ค่่ะ +76 แสดงความคิดเห็นในชื่อ รัชชานนท์
6,iPhone 15,256GB,15590,100%,https://www.facebook.com/groups/1362848747066038/posts/39163000579957381/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 15 สี green 15,590 ลดได้ 14,990 ความจุ256gb เครื่องศูนย์ไทย เปลี่ยนจอและแบตมาเบต้า100% ครบกล่องสภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ ค่ะ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿14,990 · ราชบุรี, ประเทศไทย (ขายแล้ว) iPhone 15 แสดงความคิดเห็นในชื่อ รัชชานนท์"
7,iPhone 14pro,256GB,16590,77%,https://www.facebook.com/groups/1362848747066038/posts/39162984259959013/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 14pro สี gold 16,590 ลดได้15,990 เครื่องนอกแท้เข้าศูนย์ไทยได้ ความจุ256gbเบต้า 77% เครื่องเดิมๆสภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿15,990 · ราชบุรี, ประเทศไทย (ขายแล้ว) 14 pro แสดงความคิดเห็นในชื่อ รัชชานนท์"
8,iPhone 13pro,-,12990,76%,https://www.facebook.com/groups/1362848747066038/posts/39159019393688833/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 13pro สี white 12,990 ลดได้ 12,690 LL 128G เบต้า 76% เครื่องเดิมๆ สภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿12,660 · ราชบุรี, ประเทศไทย iPhone 13 Pro ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
9,iPhone 13pro,128GB,12990,71%,https://www.facebook.com/groups/1362848747066038/posts/39159004857023620/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 13pro สี gold 12,990 ลดได้ 12,690 LL 128gb เบต้า 71% เครื่องเดิมๆ สภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿12,690 · ราชบุรี, ประเทศไทย iPhone 13 Pro ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
10,iPhone 13pro,-,10590,79%,https://www.facebook.com/groups/1362848747066038/posts/39155681244022648/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 13pro สี sierra blue 10,590 ลดได้ 9,990 เครื่องศูนย์ไทย 128Gb เบต้า79% เปลี่ยนแบตและจอมา สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿9,990 · ราชบุรี, ประเทศไทย iPhone 13pro ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
11,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/39152065481050891/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 3 วัน · มาค่ะ พร้อมส่งค่ะ +73 แสดงความคิดเห็นในชื่อ รัชชานนท์
12,iPhone 13,-,10990,84%,https://www.facebook.com/groups/1362848747066038/posts/39152047991052640/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 3 วัน · ขาย iPhone 13 สี pink 10,990 ลดได้ 10,590 เครื่องนอกแท้เข้าไทยได้ปกติความจุ 128 เครื่องเบต้า84% เครื่องเดิมๆสภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +4 ฿10,590 · ราชบุรี, ประเทศไทย iPhone 13 ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
13,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/39132542603003179/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 3 วัน · มีหลายรุ่นสอบถามได้ค่ะพร้อมส่ง +58 แสดงความคิดเห็นในชื่อ รัชชานนท์
14,iPhone 13,-,8990,87%,https://www.facebook.com/groups/1362848747066038/posts/39109725678618205/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 4 วัน · ขาย iPhone 13 สี white 8,990 ลดได้ 8,590 เครื่องนอกแท้เข้าศูนย์ไทยได้ความจุ 128 เครื่องเปลี่ยนจอและแบตมาเบต้า87% สภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +3 ฿8,590 · ราชบุรี, ประเทศไทย (ขายแล้ว) iPhone 13 แสดงความคิดเห็นในชื่อ รัชชานนท์"
15,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/39109497878640985/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 4 วัน · รับเทิร์นเครื่อง พร้อมส่งค่ะ +56 แสดงความคิดเห็นในชื่อ รัชชานนท์
16,iPhone 13promax,128GB,14990,76%,https://www.facebook.com/groups/1362848747066038/posts/39099725012951605/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 13promax สี gold 14,990 ลดได้ 14,590 เครื่องศูนย์ไทย 128gb เบต้า76% สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +4 ฿14,590 · ราชบุรี, ประเทศไทย 13 pro max ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
17,iPhone 13promax,128GB,14990,70%,https://www.facebook.com/groups/1362848747066038/posts/39099697079621065/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 13promax สี กาไฟท์ 14,990 ลดได้ 14,590 เครื่องศูนย์ไทย 128gb เบต้า70% เครื่องเปลี่ยนจอแท้มา ครบกล่อง สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿14,590 · ราชบุรี, ประเทศไทย 13 pro max ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
18,iPhone 13,128GB,9990,78%,https://www.facebook.com/groups/1362848747066038/posts/39099684929622280/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 13 สี white 9,990 ลดได้ 9,590 เครื่องศูนย์ไทย 128gb เบต้า 78% เปลี่ยนจอแท้มา ครบกล่อง สภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติค่ะ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿9,590 · ราชบุรี, ประเทศไทย iPhone 13 ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
