id,part_number,product_id,category,family,model_name,color_id,color_th,color_en,color_hex,storage,screen_size,connectivity,price_thb,formatted_price,specs_chip,image_url,product_url
MYE93ZP/A,MYE93ZP/A,iphone-16,iphone,iPhone 16,iPhone 16 128GB White,white,ขาว,White,#F9F6EF,128GB,"6.1""",5G,30900,"฿30,900",ชิป A18,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-white?wid=904&hei=840&fmt=jpeg&qlt=90,https://www.apple.com/th/shop/buy-iphone/iphone-16
MYE73ZP/A,MYE73ZP/A,iphone-16,iphone,iPhone 16,iPhone 16 128GB Black,black,ดำ,Black,#1F2022,128GB,"6.1""",5G,30900,"฿30,900",ชิป A18,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-black?wid=904&hei=840&fmt=jpeg&qlt=90,https://www.apple.com/th/shop/buy-iphone/iphone-16
MYEA3ZP/A,MYEA3ZP/A,iphone-16,iphone,iPhone 16,iPhone 16 128GB Pink,pink,ชมพู,Pink,#E3A3B1,128GB,"6.1""",5G,30900,"฿30,900",ชิป A18,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-pink?wid=904&hei=840&fmt=jpeg&qlt=90,https://www.apple.com/th/shop/buy-iphone/iphone-16
MYED3ZP/A,MYED3ZP/A,iphone-16,iphone,iPhone 16,iPhone 16 128GB Teal,teal,ทีล,Teal,#84A8A3,128GB,"6.1""",5G,30900,"฿30,900",ชิป A18,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-teal?wid=904&hei=840&fmt=jpeg&qlt=90,https://www.apple.com/th/shop/buy-iphone/iphone-16
MYEC3ZP/A,MYEC3ZP/A,iphone-16,iphone,iPhone 16,iPhone 16 128GB Ultramarine,ultramarine,อัลตร้ามารีน,Ultramarine,#4D5E8C,128GB,"6.1""",5G,30900,"฿30,900",ชิป A18,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-ultramarine?wid=904&hei=840&fmt=jpeg&qlt=90,https://www.apple.com/th/shop/buy-iphone/iphone-16
MJY04ZP/A,MJY04ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 1TB Burgundy,burgundy,เบอร์กันดี,Burgundy,#6B1D2F,1TB,"6.9""",5G,76900,"฿76,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-burgundy-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCVmtqbnQyNWMvcld5Yy9DTnQyVUlQYnd0N0MvN002Q2xTTTlsNDE2S0J6M2h2Q29kcWs4WTl5cjdvUC9sdGZWcmRlVUN5anBMYXArdTZxQXVZNFlaRkdjcy95dXRDa1NDUVdPVmlYeklhNXBmbW94YnYxc1YvNXZ4emJGL0IxNFp3,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJY14ZP/A,MJY14ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 1TB Glacier,glacier,กลาเซียร์,Glacier,#D3E0EA,1TB,"6.9""",5G,76900,"฿76,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-glacier-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCZFJQQXM4NUJneHhVVGhBeWh4RFRuM2tyb3FXRlg0b3ZVam5YYjd6eTV5aTVIZlkyUVhTaG1vWWJFN2NXNUI3d0w2TGhYaGhMVkJpQ2RGWWVURTZNbXlrbHJzaDlGbDZVSEVtV0JJbkdqcW8,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXP4ZP/A,MJXP4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 256GB Silver,silver,เงิน,Silver,#E3E4E5,256GB,"6.9""",5G,52900,"฿52,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-silver-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCVGJOdEdsYjE3KzExOGFjT0NXdW5CRzFVVXZ0WDBlS281eURIb2h1bGRDYUVrYzZ4aGx2Q085bnhRaVROeFdKVDdrNkxqcEdrM2x6OUZ3Z2JnTllhUU5pTnR1WjBmd3ZFSVQ3ZE5MLzZ4d1Y,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXN4ZP/A,MJXN4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 256GB Black,black,ดำ,Black,#1F2022,256GB,"6.9""",5G,52900,"฿52,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-black-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCWEQvUEQ2K0RlZDNJelh6T1hiakdBeUIwVmlobDZUcnBCZWVLZlJ2MWU4Q1orUE1iays0OUh2ZlI4aHRLS0JxTnpNZGEwYVUyTzcvZlg1UkxwTzJQS1c3S256NUR2czJlci9sdjJiZUJXRnk,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJY54ZP/A,MJY54ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 2TB Glacier,glacier,กลาเซียร์,Glacier,#D3E0EA,2TB,"6.9""",5G,100900,"฿100,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-glacier-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCZFJQQXM4NUJneHhVVGhBeWh4RFRuM2tyb3FXRlg0b3ZVam5YYjd6eTV5aTVIZlkyUVhTaG1vWWJFN2NXNUI3d0w2TGhYaGhMVkJpQ2RGWWVURTZNbXlrbHJzaDlGbDZVSEVtV0JJbkdqcW8,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXT4ZP/A,MJXT4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 512GB Black,black,ดำ,Black,#1F2022,512GB,"6.9""",5G,60900,"฿60,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-black-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCWEQvUEQ2K0RlZDNJelh6T1hiakdBeUIwVmlobDZUcnBCZWVLZlJ2MWU4Q1orUE1iays0OUh2ZlI4aHRLS0JxTnpNZGEwYVUyTzcvZlg1UkxwTzJQS1c3S256NUR2czJlci9sdjJiZUJXRnk,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJY44ZP/A,MJY44ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 2TB Burgundy,burgundy,เบอร์กันดี,Burgundy,#6B1D2F,2TB,"6.9""",5G,100900,"฿100,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-burgundy-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCVmtqbnQyNWMvcld5Yy9DTnQyVUlQYnd0N0MvN002Q2xTTTlsNDE2S0J6M2h2Q29kcWs4WTl5cjdvUC9sdGZWcmRlVUN5anBMYXArdTZxQXVZNFlaRkdjcy95dXRDa1NDUVdPVmlYeklhNXBmbW94YnYxc1YvNXZ4emJGL0IxNFp3,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXR4ZP/A,MJXR4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 256GB Glacier,glacier,กลาเซียร์,Glacier,#D3E0EA,256GB,"6.9""",5G,52900,"฿52,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-glacier-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCZFJQQXM4NUJneHhVVGhBeWh4RFRuM2tyb3FXRlg0b3ZVam5YYjd6eTV5aTVIZlkyUVhTaG1vWWJFN2NXNUI3d0w2TGhYaGhMVkJpQ2RGWWVURTZNbXlrbHJzaDlGbDZVSEVtV0JJbkdqcW8,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJY34ZP/A,MJY34ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 2TB Silver,silver,เงิน,Silver,#E3E4E5,2TB,"6.9""",5G,100900,"฿100,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-silver-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCVGJOdEdsYjE3KzExOGFjT0NXdW5CRzFVVXZ0WDBlS281eURIb2h1bGRDYUVrYzZ4aGx2Q085bnhRaVROeFdKVDdrNkxqcEdrM2x6OUZ3Z2JnTllhUU5pTnR1WjBmd3ZFSVQ3ZE5MLzZ4d1Y,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXQ4ZP/A,MJXQ4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 256GB Burgundy,burgundy,เบอร์กันดี,Burgundy,#6B1D2F,256GB,"6.9""",5G,52900,"฿52,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-burgundy-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCVmtqbnQyNWMvcld5Yy9DTnQyVUlQYnd0N0MvN002Q2xTTTlsNDE2S0J6M2h2Q29kcWs4WTl5cjdvUC9sdGZWcmRlVUN5anBMYXArdTZxQXVZNFlaRkdjcy95dXRDa1NDUVdPVmlYeklhNXBmbW94YnYxc1YvNXZ4emJGL0IxNFp3,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJY24ZP/A,MJY24ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 2TB Black,black,ดำ,Black,#1F2022,2TB,"6.9""",5G,100900,"฿100,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-black-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCWEQvUEQ2K0RlZDNJelh6T1hiakdBeUIwVmlobDZUcnBCZWVLZlJ2MWU4Q1orUE1iays0OUh2ZlI4aHRLS0JxTnpNZGEwYVUyTzcvZlg1UkxwTzJQS1c3S256NUR2czJlci9sdjJiZUJXRnk,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXX4ZP/A,MJXX4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 1TB Black,black,ดำ,Black,#1F2022,1TB,"6.9""",5G,76900,"฿76,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-black-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCWEQvUEQ2K0RlZDNJelh6T1hiakdBeUIwVmlobDZUcnBCZWVLZlJ2MWU4Q1orUE1iays0OUh2ZlI4aHRLS0JxTnpNZGEwYVUyTzcvZlg1UkxwTzJQS1c3S256NUR2czJlci9sdjJiZUJXRnk,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXW4ZP/A,MJXW4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 512GB Glacier,glacier,กลาเซียร์,Glacier,#D3E0EA,512GB,"6.9""",5G,60900,"฿60,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-glacier-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCZFJQQXM4NUJneHhVVGhBeWh4RFRuM2tyb3FXRlg0b3ZVam5YYjd6eTV5aTVIZlkyUVhTaG1vWWJFN2NXNUI3d0w2TGhYaGhMVkJpQ2RGWWVURTZNbXlrbHJzaDlGbDZVSEVtV0JJbkdqcW8,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXV4ZP/A,MJXV4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 512GB Burgundy,burgundy,เบอร์กันดี,Burgundy,#6B1D2F,512GB,"6.9""",5G,60900,"฿60,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-burgundy-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCVmtqbnQyNWMvcld5Yy9DTnQyVUlQYnd0N0MvN002Q2xTTTlsNDE2S0J6M2h2Q29kcWs4WTl5cjdvUC9sdGZWcmRlVUN5anBMYXArdTZxQXVZNFlaRkdjcy95dXRDa1NDUVdPVmlYeklhNXBmbW94YnYxc1YvNXZ4emJGL0IxNFp3,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXU4ZP/A,MJXU4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 512GB Silver,silver,เงิน,Silver,#E3E4E5,512GB,"6.9""",5G,60900,"฿60,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-silver-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCVGJOdEdsYjE3KzExOGFjT0NXdW5CRzFVVXZ0WDBlS281eURIb2h1bGRDYUVrYzZ4aGx2Q085bnhRaVROeFdKVDdrNkxqcEdrM2x6OUZ3Z2JnTllhUU5pTnR1WjBmd3ZFSVQ3ZE5MLzZ4d1Y,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
MJXY4ZP/A,MJXY4ZP/A,iphone-18-pro,iphone,iPhone 18 Pro,iPhone 18 Pro Max 1TB Silver,silver,เงิน,Silver,#E3E4E5,1TB,"6.9""",5G,76900,"฿76,900",ชิป A20 Pro,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-18-pro-finish-select-silver-202609_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=ODB3TEdtbk8ybkd3clM3dWVML3VCVGJOdEdsYjE3KzExOGFjT0NXdW5CRzFVVXZ0WDBlS281eURIb2h1bGRDYUVrYzZ4aGx2Q085bnhRaVROeFdKVDdrNkxqcEdrM2x6OUZ3Z2JnTllhUU5pTnR1WjBmd3ZFSVQ3ZE5MLzZ4d1Y,https://www.apple.com/th/shop/buy-iphone/iphone-18-pro
