sku,category,family,sub_model_id,sub_model_name_th,sub_model_name_en,screen_size,chip,capacity,color_th,color_en,color_hex,price_thb,in_stock,dimensions_mm,weight_grams,display_specs,camera_specs,battery_specs,box_contents,local_image_nobg,image_url_highres,specs_url,buy_url
TH-IPHONE16STANDARD-ULTRAMARINE-128GB-D0EC,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,น้ำเงินอัลตร้ามารีน,Ultramarine,#4D5E8C,29900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/ultramarine.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-ultramarine?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
TH-IPHONE16STANDARD-ULTRAMARINE-256GB-E109,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,น้ำเงินอัลตร้ามารีน,Ultramarine,#4D5E8C,33900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/ultramarine.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-ultramarine?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
TH-IPHONE16STANDARD-ULTRAMARINE-512GB-A0C2,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,น้ำเงินอัลตร้ามารีน,Ultramarine,#4D5E8C,41900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/ultramarine.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-ultramarine?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
TH-IPHONE16STANDARD-TEAL-128GB-5472,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,เขียวอมฟ้า,Teal,#84A8A3,29900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/teal.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-teal?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
TH-IPHONE16STANDARD-TEAL-256GB-A9DE,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,เขียวอมฟ้า,Teal,#84A8A3,33900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/teal.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-teal?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
TH-IPHONE16STANDARD-TEAL-512GB-B9AF,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,เขียวอมฟ้า,Teal,#84A8A3,41900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/teal.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-teal?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
TH-IPHONE16STANDARD-PINK-128GB-67A1,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,ชมพู,Pink,#E3A3B1,29900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/pink.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-pink?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
TH-IPHONE16STANDARD-PINK-256GB-5D28,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,ชมพู,Pink,#E3A3B1,33900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/pink.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-pink?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
TH-IPHONE16STANDARD-PINK-512GB-58B9,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,ชมพู,Pink,#E3A3B1,41900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/pink.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-pink?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
TH-IPHONE16STANDARD-WHITE-128GB-4C35,iphone,iPhone 16,iphone-16-standard,,iPhone 16,"6.1""",,,ขาว,White,#F9F6EF,29900,,147.6 x 71.6 x 7.80 มม.,170 กรัม,"จอภาพ Super Retina XDR OLED ขนาด 6.1 นิ้ว (แนวทแยง), ความละเอียด 2556 x 1179 พิกเซลที่ 460 ppi, ความสว่างสูงสุด 2,000 นิต (กลางแจ้ง), Dynamic Island, คอนทราสต์เรโช 2,000,000:1","ระบบกล้องคู่ขั้นสูง: กล้อง Fusion 48MP (26 มม., ƒ/1.6, ระบบ OIS แบบเลื่อนเซ็นเซอร์) + กล้อง Ultra Wide 12MP (13 มม., ƒ/2.2, มุมมอง 120°), ภาพถ่ายความละเอียดสูงพิเศษ (24MP และ 48MP), ปุ่มควบคุมกล้อง (Camera Control)","การเล่นวิดีโอนานสูงสุด 22 ชั่วโมง, การเล่นเสียงนานสูงสุด 80 ชั่วโมง, รองรับการชาร์จเร็วสูงสุด 50% ใน 30 นาที ด้วยอะแดปเตอร์ 20W หรือสูงกว่า","iPhone 16 พร้อม iOS 18, สายชาร์จ USB-C (1 ม., รองรับ 60W), เอกสารประกอบ",data/images_transparent/iphone/iphone-16/white.png,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-16-finish-select-202409-6-1inch-white?wid=2560&hei=2560&fmt=jpeg&qlt=95,https://www.apple.com/th/iphone-16/specs/,https://www.apple.com/th/shop/buy-iphone/iphone-16
